Year,Week,WeekDay,Month,Day,Temp_high,Temp_avg,Temp_low,Rel_Humidity_avg,Abs_Humidity_avg
2021,-36,1,4,20,16.1,10.9,5.8,58.5,5.8
2021,-36,2,4,21,16.8,12.2,8.8,59.2,6.4
2021,-36,3,4,22,17.7,12.2,6.8,67.2,7.2
2021,-36,4,4,23,17.7,11.6,6.3,69,7.1
2021,-36,5,4,24,15.1,11.3,8.2,74.6,7.6
2021,-36,6,4,25,12.9,9.9,7.8,81.4,7.6
2021,-36,7,4,26,13.5,9.8,7.2,78,7.2
2021,-35,1,4,27,13.3,10.2,6.6,80.8,7.7
2021,-35,2,4,28,10.2,9,7.8,94,8.3
2021,-35,3,4,29,11.9,8.5,5.7,87.5,7.5
2021,-35,4,4,30,10.1,8,6.5,86.7,7.2
2021,-35,5,5,1,12.3,9.3,7.4,78.4,7
2021,-35,6,5,2,13.4,9.6,5.8,74.6,6.7
2021,-35,7,5,3,13.4,9.8,6.3,87.4,8.1
2021,-34,1,5,4,14.4,11,7.6,83.3,8.3
2021,-34,2,5,5,11.6,9.4,8.3,77.1,7
2021,-34,3,5,6,14.4,10.2,6.2,71.5,6.8
2021,-34,4,5,7,16.1,11.8,7.6,85.6,9
2021,-34,5,5,8,16.2,13.3,10.3,75.8,8.7
2021,-34,6,5,9,18.3,14.5,11,70.5,8.7
2021,-34,7,5,10,18.2,12.6,6.5,72.2,8.1
2021,-33,1,5,11,10.8,7.4,4.5,60.4,4.8
2021,-33,2,5,12,12,7.4,2.6,62.4,4.9
2021,-33,3,5,13,12,8.2,4.8,65.1,5.4
2021,-33,4,5,14,13,7.8,2.5,58.7,4.7
2021,-33,5,5,15,15.6,10,4,62.8,5.8
2021,-33,6,5,16,15.5,10.7,5.8,63.2,6.1
2021,-33,7,5,17,16.9,11.8,7.1,68,7
2021,-32,1,5,18,18.1,12.8,7.6,72.2,8
2021,-32,2,5,19,18.1,13.6,9.7,81.9,9.6
2021,-32,3,5,20,16.3,13.1,9.4,79.1,8.9
2021,-32,4,5,21,19.2,14.6,11,81.3,10.1
2021,-32,5,5,22,16.4,13.7,10.5,72.6,8.5
2021,-32,6,5,23,15.8,12,9.6,68.3,7.2
2021,-32,7,5,24,18.2,13.8,9.9,66.3,7.8
2021,-31,1,5,25,18.6,13.2,7.8,64.2,7.2
2021,-31,2,5,26,19.8,15,9.8,65.6,8.3
2021,-31,3,5,27,19.7,16,12.5,73.3,9.9
2021,-31,4,5,28,17.6,15.2,12.8,65.3,8.4
2021,-31,5,5,29,18.8,15.2,12,60.5,7.8
2021,-31,6,5,30,19.7,15.2,10.6,64.7,8.3
2021,-31,7,5,31,19.7,15.9,12.2,66.9,9
2021,-30,1,6,1,21.3,16.2,11.1,66.2,9
2021,-30,2,6,2,21.8,17.3,13,63.2,9.3
2021,-30,3,6,3,15.4,14,11.2,75.9,9.1
2021,-30,4,6,4,14.1,11.5,8.4,70.3,7.3
2021,-30,5,6,5,14.3,11.5,7.9,68,6.9
2021,-30,6,6,6,12.6,9.5,6.1,72.3,6.6
2021,-30,7,6,7,16.5,12.6,8.6,71,7.7
2021,-29,1,6,8,16.1,12.5,8.7,78,8.5
2021,-29,2,6,9,16.3,12.9,8.8,72.2,8.1
2021,-29,3,6,10,13.6,11.8,9.9,84.9,8.9
2021,-29,4,6,11,16.1,12.8,10.2,89,10
2021,-29,5,6,12,17.5,13.4,11,90.2,10.6
2021,-29,6,6,13,16,12.8,10.7,90.6,10.2
2021,-29,7,6,14,17,13.4,11,91.2,10.6
2021,-28,1,6,15,17.5,13.7,10.3,85.3,10.1
2021,-28,2,6,16,17.6,14.2,11.3,88.5,10.8
2021,-28,3,6,17,17.9,14.7,11.5,90.6,11.4
2021,-28,4,6,18,15.8,13.6,12.3,99.3,11.7
2021,-28,5,6,19,15.4,13.2,11.4,98.2,11.3
2021,-28,6,6,20,16.4,14.2,11.9,87.5,10.7
2021,-28,7,6,21,16.4,14.3,11.3,81.6,10
2021,-27,1,6,22,17.1,14.2,9.8,82,10
2021,-27,2,6,23,20.1,16.6,12.9,78.2,11.1
2021,-27,3,6,24,23.8,19.4,14.5,71.7,11.8
2021,-27,4,6,25,23.7,19.9,16.2,73.2,12.5
2021,-27,5,6,26,20.9,17.1,14.1,89,12.9
2021,-27,6,6,27,17.5,14.7,11.6,89.9,11.3
2021,-27,7,6,28,16.6,13.2,11.1,80.9,9.2
2021,-26,1,6,29,16,13.3,10.8,77,8.9
2021,-26,2,6,30,17.8,14.5,11.7,94.6,11.8
2021,-26,3,7,1,17.6,14.7,11.8,88.2,11.1
2021,-26,4,7,2,18.5,14.7,11.7,80.8,10.1
2021,-26,5,7,3,18.4,14.6,10.8,84.9,10.5
2021,-26,6,7,4,18.8,16.7,15,93.9,13.3
2021,-26,7,7,5,16.5,14.9,11.8,78.5,10.1
2021,-25,1,7,6,17.3,13.7,11.1,73.9,8.7
2021,-25,2,7,7,19.5,14.6,9.6,79.7,9.9
2021,-25,3,7,8,19,16.5,15.1,86.5,12.2
2021,-25,4,7,9,17.8,15.8,13.8,87,11.7
2021,-25,5,7,10,17.6,14,11.1,67.9,8.1
2021,-25,6,7,11,18.5,14,8.9,73,8.7
2021,-25,7,7,12,20.3,14.7,9.6,73.1,9.1
2021,-24,1,7,13,19.7,15.7,11.7,75,10
2021,-24,2,7,14,18.7,15.5,12.7,78.8,10.4
2021,-24,3,7,15,19.7,15.7,12.2,77.8,10.4
2021,-24,4,7,16,21.8,17.4,13.7,80.7,11.9
2021,-24,5,7,17,21.9,17,13.3,80.2,11.5
2021,-24,6,7,18,21.2,16.6,12.8,79.8,11.2
2021,-24,7,7,19,18.9,15.5,12.6,80,10.5
2021,-23,1,7,20,19.3,14.3,9.7,65.8,7.9
2021,-23,2,7,21,19.8,14.7,9.6,66.2,8.1
2021,-23,3,7,22,20,15.7,10.5,70.6,9.3
2021,-23,4,7,23,18.4,15.5,12,82,10.8
2021,-23,5,7,24,21.4,17.4,14.7,84.5,12.4
2021,-23,6,7,25,18.8,16.7,14.2,88.9,12.6
2021,-23,7,7,26,18.9,15.5,13,85,11.2
2021,-22,1,7,27,19.3,16.1,13,92.7,12.8
2021,-22,2,7,28,18.6,14.6,11.1,76.7,9.5
2021,-22,3,7,29,18.8,14.6,9.6,78.4,9.7
2021,-22,4,7,30,20.3,16.7,13,78.3,11.1
2021,-22,5,7,31,25.3,20.1,15.4,76.5,13.3
2021,-22,6,8,1,20.6,16.2,12.6,70.5,9.7
2021,-22,7,8,2,20,15,11.9,70.2,8.9
2021,-21,1,8,3,19.6,14.4,10.5,66.5,8.1
2021,-21,2,8,4,19.7,14.8,9.7,87.2,11
2021,-21,3,8,5,19,17.1,15.3,98.6,14.3
2021,-21,4,8,6,20.2,17.7,16.1,97.1,14.7
2021,-21,5,8,7,25.1,20.1,14.6,74.6,12.8
2021,-21,6,8,8,25.4,20.8,16.2,78.7,14.2
2021,-21,7,8,9,23.4,19.5,16,79.5,13.3
2021,-20,1,8,10,24.2,20.2,17.5,84.4,14.6
2021,-20,2,8,11,26.6,20.9,16.4,82.5,14.8
2021,-20,3,8,12,25.1,21.1,18.2,80.7,14.7
2021,-20,4,8,13,24.1,20.2,17.7,82,14.2
2021,-20,5,8,14,19.7,18.3,16.9,88.6,13.8
2021,-20,6,8,15,19,17.7,16.2,88.4,13.3
2021,-20,7,8,16,19.4,17.2,15.3,83.2,12.2
2021,-19,1,8,17,19.3,16.1,13.5,80.5,11.1
2021,-19,2,8,18,21.7,17.4,14.1,80.8,12
2021,-19,3,8,19,19.8,17.8,15.3,91.6,13.9
2021,-19,4,8,20,18.4,16.6,14.9,78.8,11.2
2021,-19,5,8,21,19.9,17,15.6,80.3,11.6
2021,-19,6,8,22,19.5,16,13.8,72.6,9.9
2021,-19,7,8,23,18.8,15.5,13.4,73.4,9.7
2021,-18,1,8,24,19.1,16,13.3,80.6,11
2021,-18,2,8,25,18.2,16.2,14.4,85.6,11.8
2021,-18,3,8,26,19.3,15.8,12.5,76.3,10.2
2021,-18,4,8,27,17.2,13.9,11.4,86,10.4
2021,-18,5,8,28,17.3,13.8,11.3,80.8,9.6
2021,-18,6,8,29,17.5,12.8,9.3,69,7.7
2021,-18,7,8,30,17.3,13,9.7,67.3,7.6
2021,-17,1,8,31,17.7,12.9,8,71.8,8
2021,-17,2,9,1,18.2,13.5,9.6,71.9,8.3
2021,-17,3,9,2,17.7,14.8,10.6,81.8,10.4
2021,-17,4,9,3,19.6,17,13.7,88.7,12.9
2021,-17,5,9,4,19,14.8,11.6,80.4,10.1
2021,-17,6,9,5,17.8,13.3,10.2,77.2,8.8
2021,-17,7,9,6,16.8,13.4,10.1,77.9,9.1
2021,-16,1,9,7,18.9,14.7,9.9,79,10
2021,-16,2,9,8,22.1,17.6,14.5,80.9,12.2
2021,-16,3,9,9,21.7,16,11.8,80,11
2021,-16,4,9,10,18.6,13.7,10.2,78.3,9.2
2021,-16,5,9,11,18.6,13.5,8.4,83,9.6
2021,-16,6,9,12,19.4,15.4,12.4,85.1,11.1
2021,-16,7,9,13,19.5,15.6,12.4,85.6,11.3
2021,-15,1,9,14,23.8,18.3,13.6,73.7,11.3
2021,-15,2,9,15,23.3,18.6,15.5,77.4,12.3
2021,-15,3,9,16,23.4,17.7,13.8,73.8,11.1
2021,-15,4,9,17,21.3,16.4,12.9,67.8,9.4
2021,-15,5,9,18,21,15.1,10.1,65.1,8.4
2021,-15,6,9,19,21.2,16.3,12.1,73.8,10.2
2021,-15,7,9,20,21.7,16.8,12.6,77,11
2021,-14,1,9,21,21.6,16.3,12.3,78.4,10.8
2021,-14,2,9,22,18.9,15.4,12.5,82.5,10.9
2021,-14,3,9,23,16.2,13.1,9.7,80.6,9.3
2021,-14,4,9,24,13.3,10.7,8.3,72.8,7.1
2021,-14,5,9,25,14.3,9.9,7.2,74.9,7
2021,-14,6,9,26,13.2,9.2,6.2,69.1,6.1
2021,-14,7,9,27,16.2,10.9,7.6,70.8,7
2021,-13,1,9,28,17.9,12.3,5.9,85.1,9.5
2021,-13,2,9,29,16.8,12.9,10.2,75.3,8.4
2021,-13,3,9,30,14.8,12.5,10.2,81.3,8.9
2021,-13,4,10,1,12.6,10.2,8.2,78,7.4
2021,-13,5,10,2,13.7,10.8,8.3,91.8,9.1
